0,1,2,3,4
oo030160210141,כָּל,יִשְׂרָאֵ֔ל,o62682,7
oo030160210151,עֲוֺנֹת֙,וְ,o62683,7
oo030160210161,בְּנֵ֣י,אֶת,o62684,7
oo030160210171,יִשְׂרָאֵ֔ל,כָּל,o62685,7
oo030160210181,וְ,פִּשְׁעֵיהֶ֖ם,o62686,7
oo030160210182,אֶת,לְ,o62687,5
,,,,
oo030160210201,פִּשְׁעֵי,חַטֹּאתָ֑ם,o62689,7
oo030160210202,הֶ֖ם,וְ,o62690,7
oo030160210211,לְ,נָתַ֤ן,o62691,7
oo030160210212,כָל,אֹתָם֙,o62692,7
oo030160210221,חַטֹּאתָ֑,עַל,o62693,7
oo030160210222,ם,רֹ֣אשׁ,o62694,7
oo030160210231,וְ,הַ,o62695,7
oo030160210232,נָתַ֤ן,שָּׂעִ֔יר,o62696,7
oo030160210241,אֹתָ,וְ,o62697,7
oo030160210242,ם֙,שִׁלַּ֛ח,o62698,7
oo030160210251,עַל,בְּ,o62699,7
oo030160210261,רֹ֣אשׁ,יַד,o62700,7
oo030160210271,הַ,אִ֥ישׁ,o62701,7
oo030160210272,שָּׂעִ֔יר,עִתִּ֖י,o62702,7
oo030160210281,וְ,הַ,o62703,7
oo030160210282,שִׁלַּ֛ח,מִּדְבָּֽרָה,o62704,7
,,,,
oo040230130051,לְכָ,לך,o84906,7
oo040230130052,ה,נָּ֨א,o84907,7
oo040230130061,נָּ֨א,אִתִּ֜י,o84908,7
oo040230130071,אִתִּ֜,אֶל,o84909,7
oo040230130072,י,מָקֹ֤ום,o84910,7
oo040230130081,אֶל,אַחֵר֙,o84911,7
oo040230130091,מָק֤וֹם,אֲשֶׁ֣ר,o84912,7
oo040230130101,אַחֵר֙,תִּרְאֶ֣נּוּ,o84913,7
oo040230130111,אֲשֶׁ֣ר,מִ,o84914,7
oo040230130121,תִּרְאֶ֣,שָּׁ֔ם,o84915,7
oo040230130122,נּוּ,אֶ֚פֶס,o84916,7
oo040230130131,מִ,קָצֵ֣הוּ,o84917,7
oo040230130132,שָּׁ֔ם,תִרְאֶ֔ה,o84918,7
oo040230130141,אֶ֚פֶס,וְ,o84919,7
oo040230130151,קָצֵ֣,כֻלֹּ֖ו,o84920,7
oo040230130152,הוּ,לֹ֣א,o84921,5
,,,,
oo040230130172,כֻלּ֖,קָבְנֹו,o84924,7
oo040230130173,וֹ,לִ֖י,o84925,7
oo040230130181,לֹ֣א,מִ,o84926,7
oo040230130191,תִרְאֶ֑ה,שָּֽׁם,o84927,7
,,,,
oo040320070012,לָ֣,לָ֣מָּה,o90014,4
oo040320070013,מָּה,,o90014a,4
oo040320070031,תְנִיא֔וּ,תנואון,o90015,7
oo040320070032,ן,אֶת,o90016,7
oo040320070041,אֶת,לֵ֖ב,o90017,7
oo040320070051,לֵ֖ב,בְּנֵ֣י,o90018,7
oo040320070061,בְּנֵ֣י,יִשְׂרָאֵ֑ל,o90019,7
oo040320070071,יִשְׂרָאֵ֑ל,מֵֽ,o90020,7
oo040320070081,מֵֽ,עֲבֹר֙,o90021,7
oo040320070082,עֲבֹר֙,אֶל,o90022,7
oo040320070091,אֶל,הָ,o90023,7
oo040320070101,הָ,אָ֔רֶץ,o90024,7
oo040320070102,אָ֔רֶץ,אֲשֶׁר,o90025,7
oo040320070111,אֲשֶׁר,נָתַ֥ן,o90026,7
oo040320070121,נָתַ֥ן,לָהֶ֖ם,o90027,7
oo040320070131,לָ,יְהוָֽה,o90028,7
,,,,
oo050070090151,מִצְוֺתָ֖י,מצותו,o97635,7
oo050070090152,ו,לְ,o97636,7
oo050070090161,לְ,אֶ֥לֶף,o97637,4
oo050070090162,אֶ֥לֶף,,o97637a,4
,,,,
oo050100060042,בְּאֵרֹ֥ת,בְּאֵרֹ֥ת בְּנֵי־יַעֲקָ֖ן,o99249,4
oo050100060051,בְּנֵי,,o99249a,4
oo050100060061,יַעֲקָ֖ן,מֹוסֵרָ֑ה,o99250,7
oo050100060071,מוֹסֵרָ֑ה,שָׁ֣ם,o99251,7
oo050100060081,שָׁ֣ם,מֵ֤ת,o99252,7
oo050100060091,מֵ֤ת,אַהֲרֹן֙,o99253,7
oo050100060101,אַהֲרֹן֙,וַ,o99254,7
oo050100060111,וַ,יִּקָּבֵ֣ר,o99255,7
oo050100060112,יִּקָּבֵ֣ר,שָׁ֔ם,o99256,7
oo050100060121,שָׁ֔ם,וַ,o99257,7
oo050100060131,וַ,יְכַהֵ֛ן,o99258,7
oo050100060132,יְכַהֵ֛ן,אֶלְעָזָ֥ר,o99259,7
oo050100060141,אֶלְעָזָ֥ר,בְּנֹ֖ו,o99260,7
oo050100060151,בְּנ֖,תַּחְתָּֽיו,o99261,7
,,,,
oo050220150042,נַּעֲרָ֖ה,נער,o105544,4
oo050220150042a,,וְ,o105545,4
oo050220150051,וְ,NA,,6
oo050220150052,אִמָּ֑,NA,,6
,,,,
oo050280300061,יִשְׁכָּבֶ֔,ישׁגלנה,o108679,7
oo050280300062,נָּה,בַּ֥יִת,o108680,7
oo050280300071,בַּ֥יִת,תִּבְנֶ֖ה,o108681,7
oo050280300081,תִּבְנֶ֖ה,וְ,o108682,7
oo050280300091,וְ,לֹא,o108683,7
oo050280300092,לֹא,תֵשֵׁ֣ב,o108684,7
oo050280300101,תֵשֵׁ֣ב,בֹּ֑ו,o108685,7
oo050280300111,בּ֑,כֶּ֥רֶם,o108686,7
oo050280300112,וֹ,תִּטַּ֖ע,o108687,7
oo050280300121,כֶּ֥רֶם,וְ,o108688,7
oo050280300131,תִּטַּ֖ע,לֹ֥א,o108689,7
oo050280300141,וְ,תְחַלְּלֶֽנּוּ,o108690,7
oo050280310011,שׁוֹרְ,שֹׁורְךָ֞,o108691,4
oo050280310012,ךָ֞,,o108691a,4
,,,,
oo050330090121,בָּנָ֖י,בנו,o112367,7
oo050330090122,ו,לֹ֣א,o112368,7
oo050330090131,לֹ֣א,יָדָ֑ע,o112369,7
oo050330090141,יָדָ֑ע,כִּ֤י,o112370,7
oo050330090151,כִּ֤י,שָֽׁמְרוּ֙,o112371,7
oo050330090161,שָֽׁמְרוּ֙,אִמְרָתֶ֔ךָ,o112372,7
oo050330090171,אִמְרָתֶ֔,וּ,o112373,7
oo050330090172,ךָ,בְרִֽיתְךָ֖,o112374,4
oo050330090181,וּ,,o112374a,4
oo050330090182,בְרִֽיתְ,יִנְצֹֽרוּ,o112375,7
,,,,
oo060020130101,אַחְיוֹתַ֔,אחותי,o113667,7
oo060020130102,י,וְ,o113668,7
oo060020130111,וְ,אֵ֖ת,o113669,7
oo060020130112,אֵ֖ת,כָּל,o113670,7
oo060020130121,כָּל,אֲשֶׁ֣ר,o113671,7
oo060020130131,אֲשֶׁ֣ר,לָהֶ֑ם,o113672,7
oo060020130141,לָ,וְ,o113673,7
oo060020130142,הֶ֑ם,הִצַּלְתֶּ֥ם,o113674,7
oo060020130151,וְ,אֶת,o113675,7
oo060020130152,הִצַּלְתֶּ֥ם,נַפְשֹׁתֵ֖ינוּ,o113676,7
oo060020130161,אֶת,מִ,o113677,7
oo060020130171,נַפְשֹׁתֵ֖י,מָּֽוֶת,o113678,7
,,,,
oo060030040062,בֵינָ֔י,בינו,o114016,7
oo060030040063,ו,כְּ,o114017,7
oo060030040071,כְּ,אַלְפַּ֥יִם,o114018,7
oo060030040072,אַלְפַּ֥יִם,אַמָּ֖ה,o114019,7
oo060030040081,אַמָּ֖ה,בַּ,o114020,7
oo060030040091,בַּ,,o114021,7
oo060030040091ה,,מִּדָּ֑ה,o114022,7
oo060030040092,מִּדָּ֑ה,אַֽל,o114023,7
oo060030040101,אַֽל,תִּקְרְב֣וּ,o114024,7
oo060030040111,תִּקְרְב֣וּ,אֵלָ֗יו,o114025,7
oo060030040121,אֵלָ֗י,לְמַ֤עַן,o114026,7
oo060030040122,ו,אֲשֶׁר,o114027,7
oo060030040131,לְמַ֤עַן,תֵּֽדְעוּ֙,o114028,7
oo060030040141,אֲשֶׁר,אֶת,o114029,7
oo060030040151,תֵּֽדְעוּ֙,הַ,o114030,7
oo060030040161,אֶת,דֶּ֨רֶךְ֙,o114031,7
oo060030040171,הַ,אֲשֶׁ֣ר,o114032,7
oo060030040172,דֶּ֨רֶךְ֙,תֵּֽלְכוּ,o114033,7
oo060030040181,אֲשֶׁ֣ר,בָ֔הּ,o114034,7
oo060030040191,תֵּֽלְכוּ,כִּ֣י,o114035,7
oo060030040201,בָ֔,לֹ֧א,o114036,7
oo060030040202,הּ,עֲבַרְתֶּ֛ם,o114037,7
oo060030040211,כִּ֣י,בַּ,o114038,7
oo060030040221,לֹ֧א,,o114039,7
oo060030040231,עֲבַרְתֶּ֛ם,דֶּ֖רֶךְ,o114040,7
oo060030040241,בַּ,מִ,o114041,7
oo060030040241ה,,תְּמֹ֥ול,o114042,7
oo060030040242,דֶּ֖רֶךְ,שִׁלְשֹֽׁום,o114043,7
,,,,
oo060050010281,עָבְרָ֑,עברנו,o114974,7
oo060050010282,ם,וַ,o114975,7
oo060050010291,וַ,יִּמַּ֣ס,o114976,7
oo060050010292,יִּמַּ֣ס,לְבָבָ֗ם,o114977,7
oo060050010301,לְבָבָ֗,וְ,o114978,7
oo060050010302,ם,לֹא,o114979,7
oo060050010311,וְ,הָ֨יָה,o114980,7
oo060050010312,לֹא,בָ֥ם,o114981,7
oo060050010321,הָ֨יָה,עֹוד֙,o114982,7
oo060050010331,בָ֥,ר֔וּחַ,o114983,7
oo060050010332,ם,מִ,o114984,7
oo060050010341,עוֹד֙,פְּנֵ֖י,o114985,7
oo060050010351,ר֔וּחַ,בְּנֵֽי,o114986,7
oo060050010361,מִ,יִשְׂרָאֵֽל,o114987,7
,,,,
oo060150320032,עַ֣יִן,עַ֣יִן וְרִמֹּ֑ון,o121905,4
oo060150320041,וְ,,o121905a,4
oo060150320042,רִמּ֑וֹן,כָּל,o121906,7
oo060150320051,כָּל,עָרִ֛ים,o121907,5
,,,,
oo060150320071,עֶשְׂרִ֥ים,וָ,o121909,7
oo060150320081,וָ,תֵ֖שַׁע,o121910,7
oo060150320082,תֵ֖שַׁע,וְ,o121911,7
oo060150320091,וְ,חַצְרֵיהֶֽן,o121912,7
,,,,
oo060150620022,עִיר,עִיר־הַמֶּ֖לַח,o122150,4
oo060150620031,הַ,,o122150a,4
oo060150620032,מֶּ֖לַח,וְ,o122151,7
oo060150620041,וְ,עֵ֣ין גֶּ֑דִי,o122152,7
oo060150620042,עֵ֣ין,עָרִ֥ים,o122153,7
oo060150620051,גֶּ֑דִי,שֵׁ֖שׁ,o122154,7
oo060150620061,עָרִ֥ים,וְ,o122155,7
oo060150620071,שֵׁ֖שׁ,חַצְרֵיהֶֽן,o122156,7
,,,,
oo060180190092,הָי֣וּ,היה,o123292,7
oo060180190111,תֹּצְא֣וֹת,תצאותיו,o123293,4
oo060180190121,הַ,,o123293a,4
,NA,הַ,o123294,6
,,,,
oo060190220052,שַׁחֲצִ֨ימָ,שׁחצומה,o123689,7
oo060190220053,ה֙,וּ,o123690,7
oo060190220061,וּ,בֵ֣ית שֶׁ֔מֶשׁ,o123691,7
oo060190220062,בֵ֣ית,וְ,o123692,7
oo060190220071,שֶׁ֔מֶשׁ,הָי֛וּ,o123693,7
oo060190220081,וְ,תֹּצְאֹ֥ות,o123694,7
oo060190220082,הָי֛וּ,גְּבוּלָ֖ם,o123695,7
oo060190220091,תֹּצְא֥וֹת,הַ,o123696,7
oo060190220101,גְּבוּלָ֖,יַּרְדֵּ֑ן,o123697,7
oo060190220102,ם,עָרִ֥ים,o123698,7
oo060190220111,הַ,שֵׁשׁ,o123699,7
oo060190220112,יַּרְדֵּ֑ן,עֶשְׂרֵ֖ה,o123700,7
oo060190220121,עָרִ֥ים,וְ,o123701,7
oo060190220131,שֵׁשׁ,חַצְרֵיהֶֽן,o123702,7
,,,,
oo070160260102,הֲמִשֵׁ֨,הימשׁני,o137840,7
oo070160260103,נִי֙,אֶת,o137841,7
oo070160260111,אֶת,הָֽ,o137842,7
oo070160260121,הָֽ,עַמֻּדִ֔ים,o137843,7
oo070160260122,עַמֻּדִ֔ים,אֲשֶׁ֥ר,o137844,7
oo070160260131,אֲשֶׁ֥ר,הַ,o137845,7
oo070160260141,הַ,בַּ֖יִת,o137846,7
oo070160260142,בַּ֖יִת,נָכֹ֣ון,o137847,7
oo070160260151,נָכ֣וֹן,עֲלֵיהֶ֑ם,o137848,7
oo070160260161,עֲלֵי,וְ,o137849,7
oo070160260162,הֶ֑ם,אֶשָּׁעֵ֖ן,o137850,7
oo070160260171,וְ,עֲלֵיהֶֽם,o137851,7
,,,,
oo080030030051,שִׂמְלֹתַ֛יִ,שׂמלתך,o356812,7
oo080030030052,ךְ,עָלַ֖יִךְ,o356813,4
oo080030030061,עָלַ֖יִ,,o356813a,4
oo080030030062,ךְ,ו,o356814,7
oo080030030081,וְ,ירדתי,o356815,7
oo080030030082,יָרַ֣דְתְּ,הַ,o356816,7
oo080030030091,הַ,גֹּ֑רֶן,o356817,7
oo080030030092,גֹּ֑רֶן,אַל,o356818,7
,NA,תִּוָּדְעִ֣י,o356819,6
oo080030030101,אַל,לָ,o356820,4
oo080030030101a,,,o356821,4
oo080030030111,תִּוָּדְעִ֣י,אִ֔ישׁ,o356822,7
oo080030030121,לָ,עַ֥ד,o356823,7
oo080030030121ה,,כַּלֹּתֹ֖ו,o356824,7
oo080030030122,אִ֔ישׁ,לֶ,o356825,7
oo080030030131,עַ֥ד,אֱכֹ֥ל,o356826,7
oo080030030141,כַּלֹּת֖,וְ,o356827,7
oo080030030142,וֹ,לִ,o356828,7
oo080030030151,לֶ,שְׁתֹּֽות,o356829,7
,,,,
oo080030140031,מַרְגְּלוֹתָי,מרגלתו,o357021,7
oo080030140032,וֹ֙,עַד,o357022,7
oo080030140041,עַד,הַ,o357023,7
oo080030140051,הַ,בֹּ֔קֶר,o357024,7
oo080030140052,בֹּ֔קֶר,וַ,o357025,7
oo080030140061,וַ,תָּ֕קָם,o357026,7
oo080030140062,תָּ֕קָם,ב,o357027,7
oo080030140081,בְּ,טרום,o357028,7
oo080030140082,טֶ֛רֶם,יַכִּ֥יר,o357029,7
oo080030140091,יַכִּ֥יר,אִ֖ישׁ,o357030,7
oo080030140101,אִ֖ישׁ,אֶת,o357031,7
oo080030140111,אֶת,רֵעֵ֑הוּ,o357032,7
oo080030140121,רֵעֵ֑,וַ,o357033,7
oo080030140122,הוּ,יֹּ֨אמֶר֙,o357034,7
oo080030140131,וַ,אַל,o357035,7
oo080030140132,יֹּ֨אמֶר֙,יִוָּדַ֔ע,o357036,7
oo080030140141,אַל,כִּי,o357037,7
oo080030140151,יִוָּדַ֔ע,בָ֥אָה,o357038,7
oo080030140161,כִּי,הָ,o357039,7
oo080030140171,בָ֥אָה,אִשָּׁ֖ה,o357040,5
,,,,
oo080030170091,אֵלַ֔,,o357097,7
oo080030170092,י,אַל,o357098,7
oo080030170101,אַל,תָּבֹ֥ואִי,o357099,7
oo080030170111,תָּב֥וֹאִי,רֵיקָ֖ם,o357100,7
oo080030170121,רֵיקָ֖ם,אֶל,o357101,7
oo080030170131,אֶל,חֲמֹותֵֽךְ,o357102,7
,,,,
oo090020090031,חֲסִידָי,חסידו,o142230,7
oo090020090032,ו֙,יִשְׁמֹ֔ר,o142231,7
oo090020090041,יִשְׁמֹ֔ר,וּ,o142232,7
oo090020090051,וּ,רְשָׁעִ֖ים,o142233,7
oo090020090052,רְשָׁעִ֖ים,בַּ,o142234,7
oo090020090061,בַּ,,o142235,7
oo090020090061ה,,חֹ֣שֶׁךְ,o142236,7
oo090020090062,חֹ֣שֶׁךְ,יִדָּ֑מּוּ,o142237,7
oo090020090071,יִדָּ֑מּוּ,כִּֽי,o142238,7
oo090020090081,כִּֽי,לֹ֥א,o142239,7
oo090020090091,לֹ֥א,בְ,o142240,7
oo090020090101,בְ,כֹ֖חַ,o142241,7
oo090020090102,כֹ֖חַ,יִגְבַּר,o142242,7
oo090020090111,יִגְבַּר,אִֽישׁ,o142243,7
,,,,
oo090020100041,מְרִיבָ֗י,מריבו,o142246,7
oo090020100042,ו,עלו,o142247,7
oo090020100061,עָלָי,בַּ,o142248,7
oo090020100062,ו֙,,o142249,7
oo090020100071,בַּ,שָּׁמַ֣יִם,o142250,7
oo090020100071ה,,יַרְעֵ֔ם,o142251,7
oo090020100072,שָּׁמַ֣יִם,יְהוָ֖ה,o142252,7
oo090020100081,יַרְעֵ֔ם,יָדִ֣ין,o142253,7
oo090020100091,יְהוָ֖ה,אַפְסֵי,o142254,7
oo090020100101,יָדִ֣ין,אָ֑רֶץ,o142255,7
oo090020100111,אַפְסֵי,וְ,o142256,7
oo090020100121,אָ֑רֶץ,יִתֶּן,o142257,7
oo090020100131,וְ,עֹ֣ז,o142258,7
oo090020100132,יִתֶּן,לְ,o142259,7
oo090020100141,עֹ֣ז,מַלְכֹּ֔ו,o142260,7
oo090020100151,לְ,וְ,o142261,7
oo090020100152,מַלְכּ֔,יָרֵ֖ם,o142262,7
oo090020100153,וֹ,קֶ֥רֶן,o142263,7
oo090020100161,וְ,מְשִׁיחֹֽו,o142264,7
,,,,
oo090040010131,הָ,הָאֶ֣בֶן הָעֵ֔זֶר,o143295,4
oo090040010132,אֶ֣בֶן,,o143295a,4
oo090040010141,הָעֵ֔זֶר,וּ,o143296,7
oo090040010151,וּ,פְלִשְׁתִּ֖ים,o143297,7
oo090040010152,פְלִשְׁתִּ֖ים,חָנ֥וּ,o143298,7
oo090040010161,חָנ֥וּ,בַ,o143299,7
oo090040010171,בַ,אֲפֵֽק,o143300,7
,,,,
oo090060050041,טְחֹרֵי,עפליכם,o144216,7
oo090060050042,כֶ֜ם,וְ,o144217,7
oo090060050051,וְ,צַלְמֵ֣י,o144218,7
oo090060050052,צַלְמֵ֣י,עַכְבְּרֵיכֶ֗ם,o144219,7
oo090060050061,עַכְבְּרֵי,הַ,o144220,7
oo090060050062,כֶ֗ם,מַּשְׁחִיתִם֙,o144221,7
oo090060050071,הַ,אֶת,o144222,7
oo090060050072,מַּשְׁחִיתִם֙,הָ,o144223,7
oo090060050081,אֶת,אָ֔רֶץ,o144224,7
oo090060050091,הָ,וּ,o144225,7
oo090060050092,אָ֔רֶץ,נְתַתֶּ֛ם,o144226,7
oo090060050101,וּ,לֵ,o144227,7
oo090060050102,נְתַתֶּ֛ם,אלֹהֵ֥י,o144228,7
oo090060050111,לֵ,יִשְׂרָאֵ֖ל,o144229,7
oo090060050112,אלֹהֵ֥י,כָּבֹ֑וד,o144230,7
oo090060050121,יִשְׂרָאֵ֖ל,אוּלַ֗י,o144231,7
oo090060050131,כָּב֑וֹד,יָקֵ֤ל,o144232,7
oo090060050141,אוּלַ֗י,אֶת,o144233,7
oo090060050151,יָקֵ֤ל,יָדֹו֙,o144234,7
oo090060050161,אֶת,מֵֽ,o144235,7
oo090060050171,יָד,עֲלֵיכֶ֔ם,o144236,5
,,,,
oo090070090072,יַּעֲלֵ֧,יעלה,o144889,7
oo090070090073,הוּ,עֹולָ֛ה,o144890,7
oo090070090081,עוֹלָ֛ה,כָּלִ֖יל,o144891,7
oo090070090091,כָּלִ֖יל,לַֽ,o144892,7
oo090070090101,לַֽ,יהוָ֑ה,o144893,7
oo090070090102,יהוָ֑ה,וַ,o144894,7
oo090070090111,וַ,יִּזְעַ֨ק,o144895,7
oo090070090112,יִּזְעַ֨ק,שְׁמוּאֵ֤ל,o144896,7
oo090070090121,שְׁמוּאֵ֤ל,אֶל,o144897,7
oo090070090131,אֶל,יְהוָה֙,o144898,7
oo090070090141,יְהוָה֙,בְּעַ֣ד,o144899,7
oo090070090151,בְּעַ֣ד,יִשְׂרָאֵ֔ל,o144900,7
oo090070090161,יִשְׂרָאֵ֔ל,וַֽ,o144901,7
oo090070090171,וַֽ,יַּעֲנֵ֖הוּ,o144902,4
oo090070090172,יַּעֲנֵ֖,,o144902a,4
oo090070090173,הוּ,יְהוָֽה,o144903,4
oo090070090181,יְהוָֽה,,o144903a,4
,,,,
oo090090260103,ה,לֵ,o146166,7
oo090090260111,לֵ,אמֹ֔ר,o146167,7
oo090090260112,אמֹ֔ר,ק֖וּמָה,o146168,7
oo090090260121,ק֖וּמָ,וַ,o146169,7
oo090090260122,ה,אֲשַׁלְּחֶ֑ךָּ,o146170,5
,,,,
oo090090260142,יָּ֣קָם,יֵּצְא֧וּ,o146175,7
oo090090260151,שָׁא֗וּל,שְׁנֵיהֶ֛ם,o146176,7
oo090090260161,וַ,ה֥וּא,o146177,7
oo090090260162,יֵּצְא֧וּ,וּ,o146178,7
oo090090260171,שְׁנֵי,שְׁמוּאֵ֖ל,o146179,7
oo090090260172,הֶ֛ם,הַ,o146180,7
oo090090260181,ה֥וּא,חֽוּצָה,o146181,7
,,,,
oo090100210071,וַ,תִּלָּכֵ֖ד,o146695,7
oo090100210072,תִּלָּכֵ֖ד,מִשְׁפַּ֣חַת,o146696,7
oo090100210081,מִשְׁפַּ֣חַת,הַ,o146697,7
oo090100210091,הַ,מַּטְרִ֑י,o146698,7
oo090100210092,מַּטְרִ֑י,וַ,o146699,7
oo090100210101,וַ,יִּלָּכֵד֙,o146700,7
oo090100210102,יִּלָּכֵד֙,שָׁא֣וּל,o146701,7
oo090100210111,שָׁא֣וּל,בֶּן,o146702,7
oo090100210121,בֶּן,קִ֔ישׁ,o146703,7
oo090100210131,קִ֔ישׁ,וַ,o146704,7
oo090100210141,וַ,יְבַקְשֻׁ֖הוּ,o146705,4
oo090100210142,יְבַקְשֻׁ֖,,o146705a,4
oo090100210143,הוּ,וְ,o146706,7
oo090100210151,וְ,לֹ֥א,o146707,7
oo090100210152,לֹ֥א,נִמְצָֽא,o146708,7
,,,,
oo090200020091,לֹֽא,לו,o153448,7
oo090200020101,יַעֲשֶׂ֨ה,עשׂה,o153449,7
oo090200020111,אָבִ֜,אָבִ֜י,o153450,4
oo090200020112,י,,o153450a,4
,,,,
oo090230050042,אֲנָשָׁ֨י,אנשׁו,o155421,7
oo090230050043,ו,קְעִילָ֜ה,o155422,7
oo090230050051,קְעִילָ֜ה,וַ,o155423,7
oo090230050061,וַ,יִּלָּ֣חֶם,o155424,7
oo090230050062,יִּלָּ֣חֶם,בַּ,o155425,7
oo090230050071,בַּ,,o155426,7
oo090230050071ה,,פְּלִשְׁתִּ֗ים,o155427,7
oo090230050072,פְּלִשְׁתִּ֗ים,וַ,o155428,7
oo090230050081,וַ,יִּנְהַג֙,o155429,7
oo090230050082,יִּנְהַג֙,אֶת,o155430,7
oo090230050091,אֶת,מִקְנֵיהֶ֔ם,o155431,7
oo090230050101,מִקְנֵי,וַ,o155432,7
oo090230050102,הֶ֔ם,יַּ֥ךְ,o155433,7
oo090230050111,וַ,בָּהֶ֖ם,o155434,7
oo090230050112,יַּ֥ךְ,מַכָּ֣ה,o155435,7
oo090230050121,בָּ,גְדֹולָ֑ה,o155436,7
oo090230050122,הֶ֖ם,וַ,o155437,7
oo090230050131,מַכָּ֣ה,יֹּ֣שַׁע,o155438,7
oo090230050141,גְדוֹלָ֑ה,דָּוִ֔ד,o155439,7
oo090230050151,וַ,אֵ֖ת,o155440,7
oo090230050152,יֹּ֣שַׁע,יֹשְׁבֵ֥י,o155441,7
oo090230050161,דָּוִ֔ד,קְעִילָֽה,o155442,7
,,,,
oo090260070172,אַבְנֵ֣ר,הָ,o157736,7
oo090260070181,וְ,עָ֔ם,o157737,7
oo090260070182,הָ,שֹׁכְבִ֖ים,o157738,7
